ID,Individuo,I,x,f(x)
1,10111,23,4.4719999999999995,-85.89000520185462
2,11010,26,4.664,-97.78360234070809
3,10101,21,4.344,-78.50176684201959
4,00110,6,3.384,-35.6165882421041
5,10001,17,4.088,-64.96997332737153
6,10100,20,4.28,-74.96545991148146
7,01110,14,3.896,-55.86334038981571
8,11100,28,4.792,-106.27067901940535
9,10010,18,4.152,-68.20105098062258
10,10110,22,4.4079999999999995,-82.1427881833643
11,01100,12,3.768,-50.26611305784008
12,00001,1,3.064,-25.682883883511465
13,00111,7,3.448,-37.84384249057173
14,00101,5,3.32,-33.471532574613185
15,00011,3,3.192,-29.421938633726732
16,00000,0,3.0,-23.925994876746984
17,11000,24,4.536,-89.7448964698383
18,00010,2,3.128,-27.514356144716995
19,10011,19,4.216,-71.53238347026948
20,11111,31,4.984,-119.86763073322494
21,10010,18,4.152,-68.20105098062258
22,01001,9,3.576,-42.5510126526641
23,11010,26,4.664,-97.78360234070809
24,11000,24,4.536,-89.7448964698383
25,11100,28,4.792,-106.27067901940535
26,10011,19,4.216,-71.53238347026948
27,10010,18,4.152,-68.20105098062258
28,01100,12,3.768,-50.26611305784008
29,10001,17,4.088,-64.96997332737153
30,11000,24,4.536,-89.7448964698383
31,11100,28,4.792,-106.27067901940535
32,10000,16,4.024,-61.83765885682281
33,11100,28,4.792,-106.27067901940535
34,01010,10,3.64,-45.033956213134694
35,11101,29,4.856,-110.68602311242614
36,11100,28,4.792,-106.27067901940535
37,10000,16,4.024,-61.83765885682281
38,01000,8,3.512,-40.15481232809994
39,10100,20,4.28,-74.96545991148146
40,11011,27,4.728,-101.97036026885581
41,10100,20,4.28,-74.96545991148146
42,01111,15,3.96,-58.802613415653184
43,11001,25,4.6,-93.70893782683453
44,00000,0,3.0,-23.925994876746984
45,11110,30,4.92,-115.21785414115351
46,00001,1,3.064,-25.682883883511465
47,10000,16,4.024,-61.83765885682281
48,11100,28,4.792,-106.27067901940535
49,10010,18,4.152,-68.20105098062258
50,01001,9,3.576,-42.5510126526641
51,11000,24,4.536,-89.7448964698383
52,00000,0,3.0,-23.925994876746984
53,11010,26,4.664,-97.78360234070809
54,00000,0,3.0,-23.925994876746984
55,10000,16,4.024,-61.83765885682281
56,11111,31,4.984,-119.86763073322494
57,11111,31,4.984,-119.86763073322494
58,11100,28,4.792,-106.27067901940535
59,11111,31,4.984,-119.86763073322494
60,11010,26,4.664,-97.78360234070809
61,11111,31,4.984,-119.86763073322494
62,00101,5,3.32,-33.471532574613185
63,10111,23,4.4719999999999995,-85.89000520185462
64,01011,11,3.7039999999999997,-47.60515357029027
65,01111,15,3.96,-58.802613415653184
66,10011,19,4.216,-71.53238347026948
67,10111,23,4.4719999999999995,-85.89000520185462
68,11101,29,4.856,-110.68602311242614
69,11111,31,4.984,-119.86763073322494
70,01110,14,3.896,-55.86334038981571
71,11110,30,4.92,-115.21785414115351
72,11111,31,4.984,-119.86763073322494
73,11011,27,4.728,-101.97036026885581
74,10110,22,4.4079999999999995,-82.1427881833643
75,11110,30,4.92,-115.21785414115351
76,10110,22,4.4079999999999995,-82.1427881833643
77,11100,28,4.792,-106.27067901940535
78,01111,15,3.96,-58.802613415653184
79,11011,27,4.728,-101.97036026885581
80,00101,5,3.32,-33.471532574613185
81,10100,20,4.28,-74.96545991148146
82,01111,15,3.96,-58.802613415653184
83,10111,23,4.4719999999999995,-85.89000520185462
84,01101,13,3.832,-53.018340743456164
85,10110,22,4.4079999999999995,-82.1427881833643
86,00111,7,3.448,-37.84384249057173
87,10000,16,4.024,-61.83765885682281
88,01111,15,3.96,-58.802613415653184
89,11010,26,4.664,-97.78360234070809
90,11001,25,4.6,-93.70893782683453
91,11010,26,4.664,-97.78360234070809
92,00111,7,3.448,-37.84384249057173
93,11011,27,4.728,-101.97036026885581
94,10111,23,4.4719999999999995,-85.89000520185462
95,11101,29,4.856,-110.68602311242614
96,10100,20,4.28,-74.96545991148146
97,00010,2,3.128,-27.514356144716995
98,01100,12,3.768,-50.26611305784008
99,10110,22,4.4079999999999995,-82.1427881833643
100,11001,25,4.6,-93.70893782683453
101,10000,16,4.024,-61.83765885682281
102,11100,28,4.792,-106.27067901940535
103,11110,30,4.92,-115.21785414115351
104,01100,12,3.768,-50.26611305784008
105,10110,22,4.4079999999999995,-82.1427881833643
106,11000,24,4.536,-89.7448964698383
107,11110,30,4.92,-115.21785414115351
108,10100,20,4.28,-74.96545991148146
109,10100,20,4.28,-74.96545991148146
110,01100,12,3.768,-50.26611305784008
111,11000,24,4.536,-89.7448964698383
112,01001,9,3.576,-42.5510126526641
113,10110,22,4.4079999999999995,-82.1427881833643
114,00101,5,3.32,-33.471532574613185
115,11101,29,4.856,-110.68602311242614
116,11100,28,4.792,-106.27067901940535
117,10001,17,4.088,-64.96997332737153
118,01110,14,3.896,-55.86334038981571
119,11000,24,4.536,-89.7448964698383
120,00100,4,3.2560000000000002,-31.407156408912343
121,11000,24,4.536,-89.7448964698383
122,11100,28,4.792,-106.27067901940535
123,10110,22,4.4079999999999995,-82.1427881833643
124,01000,8,3.512,-40.15481232809994
125,11010,26,4.664,-97.78360234070809
126,10000,16,4.024,-61.83765885682281
127,11110,30,4.92,-115.21785414115351
128,11101,29,4.856,-110.68602311242614
129,11010,26,4.664,-97.78360234070809
130,00110,6,3.384,-35.6165882421041
131,10000,16,4.024,-61.83765885682281
132,01010,10,3.64,-45.033956213134694
133,10000,16,4.024,-61.83765885682281
134,11110,30,4.92,-115.21785414115351
135,11010,26,4.664,-97.78360234070809
136,01110,14,3.896,-55.86334038981571
137,11000,24,4.536,-89.7448964698383
